episode,episode_length,total_reward,average_reward_per_step,average_absolute_td_error,epsilon,timesteps
168,200,-261.358545,-1.306792725,1.1418652546405792,0.8670039583333334,33600
169,200,-351.016498,-1.7550824900000002,1.112301346063614,0.8662122916666668,33800
170,200,-321.449092,-1.6072454600000001,1.1089155340194703,0.8654206249999998,34000
171,200,-230.526985,-1.152634925,1.2429186284542084,0.8646289583333333,34200
172,200,-256.903496,-1.28451748,1.1688562977313994,0.8638372916666668,34400
173,200,-369.017274,-1.84508637,1.1332865464687347,0.8630456249999998,34600
174,200,-367.126518,-1.83563259,1.0872706329822541,0.8622539583333333,34800
175,200,-311.943002,-1.55971501,1.0576337242126466,0.8614622916666667,35000
176,200,-205.934291,-1.029671455,1.2113307642936706,0.860670625,35200
177,200,-343.782022,-1.71891011,1.1437065517902374,0.8598789583333335,35400
178,200,-295.497482,-1.47748741,1.107261872291565,0.8590872916666665,35600
179,200,-343.046476,-1.71523238,1.0934487652778626,0.858295625,35800
180,200,-341.5878,-1.707939,1.071904979944229,0.8575039583333334,36000
181,200,-330.116466,-1.65058233,1.1212357044219972,0.8567122916666668,36200
182,200,-293.650355,-1.468251775,1.1173969495296479,0.8559206249999999,36400
183,200,-352.837287,-1.764186435,1.0997826659679413,0.8551289583333334,36600
184,200,-340.632373,-1.7031618649999998,1.0942422211170197,0.8543372916666667,36800
185,200,-316.74389,-1.58371945,1.040940784215927,0.8535456250000002,37000
186,200,-298.775561,-1.493877805,1.1464044392108916,0.8527539583333332,37200
187,200,-288.660574,-1.44330287,1.1371659791469575,0.8519622916666667,37400
188,200,-291.690006,-1.4584500299999998,1.102711478471756,0.8511706250000001,37600
189,200,-266.782014,-1.33391007,1.0724229550361633,0.8503789583333334,37800
190,200,-311.5314,-1.557657,1.0220487523078918,0.8495872916666666,38000
191,200,-193.867112,-0.96933556,1.184561105966568,0.8487956249999999,38200
192,200,-318.66933,-1.59334665,1.11925443649292,0.8480039583333334,38400
193,200,-280.718428,-1.40359214,1.1023740112781524,0.8472122916666669,38600
194,200,-330.196639,-1.650983195,1.1201715111732482,0.8464206249999999,38800
195,200,-336.865325,-1.684326625,1.1127785742282867,0.8456289583333333,39000
196,200,-203.112361,-1.015561805,1.2174708211421967,0.8448372916666667,39200
197,200,-247.888341,-1.239441705,1.164125269651413,0.8440456250000001,39400
198,200,-342.067318,-1.71033659,1.189558755159378,0.8432539583333332,39600
199,200,-188.07367,-0.94036835,1.1112705087661743,0.8424622916666666,39800
200,200,-302.963837,-1.5148191850000001,1.12864692568779,0.8416706250000001,40000
201,200,-339.593474,-1.69796737,1.2429626071453095,0.8408789583333335,40200
202,200,-310.904345,-1.5545217249999999,1.1845498156547547,0.8400872916666665,40400
203,200,-260.279426,-1.30139713,1.1557470655441284,0.839295625,40600
204,200,-345.499105,-1.727495525,1.1002956891059876,0.8385039583333334,40800
205,200,-265.122323,-1.325611615,1.0933132803440093,0.8377122916666668,41000
206,200,-126.992022,-0.6349601100000001,1.2132225620746613,0.8369206249999999,41200
207,200,-335.747061,-1.6787353049999998,1.1872674357891082,0.8361289583333333,41400
208,200,-184.975604,-0.92487802,1.1982424664497375,0.8353372916666667,41600
209,200,-267.048282,-1.3352414099999999,1.1650577330589293,0.8345456250000002,41800
210,200,-246.417886,-1.23208943,1.1494333529472351,0.8337539583333332,42000
211,200,-359.767596,-1.79883798,1.3131719529628754,0.8329622916666666,42200
212,200,-313.795843,-1.568979215,1.268798303604126,0.832170625,42400
213,200,-372.129757,-1.860648785,1.2010858130455018,0.8313789583333335,42600
214,200,-254.542687,-1.272713435,1.1859639477729798,0.8305872916666666,42800
215,200,-331.502961,-1.6575148050000001,1.135429232120514,0.8297956249999999,43000
216,200,-108.905789,-0.544528945,1.3150910782814025,0.8290039583333334,43200
217,200,-190.658965,-0.953294825,1.243661514520645,0.8282122916666668,43400
218,200,-244.012128,-1.22006064,1.24244957447052,0.8274206249999999,43600
219,200,-323.481186,-1.6174059299999999,1.2237968361377716,0.8266289583333333,43800
220,200,-312.942836,-1.56471418,1.1809293234348297,0.8258372916666668,44000
221,200,-262.979471,-1.314897355,1.3100152480602265,0.8250456250000001,44200
222,200,-245.100626,-1.22550313,1.3151191258430481,0.8242539583333333,44400
223,200,-334.626375,-1.673131875,1.222899079322815,0.8234622916666666,44600
224,200,-285.289953,-1.426449765,1.1969130837917328,0.822670625,44800
225,200,-311.858432,-1.55929216,1.2303466975688935,0.8218789583333335,45000
226,200,-197.498602,-0.98749301,1.37219580411911,0.8210872916666665,45200
227,200,-194.073222,-0.97036611,1.2997417831420899,0.820295625,45400
228,200,-337.329243,-1.6866462150000001,1.3363833665847777,0.8195039583333334,45600
229,200,-114.416255,-0.5720812750000001,1.2537904489040375,0.8187122916666668,45800
230,200,-205.550004,-1.02775002,1.3031184494495391,0.8179206249999998,46000
231,200,-300.10077,-1.50050385,1.4168124628067016,0.8171289583333333,46200
232,200,-255.672055,-1.278360275,1.360713074207306,0.8163372916666667,46400
233,200,-206.355335,-1.031776675,1.4008254504203796,0.8155456250000002,46600
234,200,-221.924885,-1.109624425,1.3659866666793823,0.8147539583333332,46800
235,200,-315.841215,-1.5792060749999999,1.3300649809837342,0.8139622916666667,47000
236,200,-374.920301,-1.874601505,1.5479394340515136,0.813170625,47200
237,200,-254.081211,-1.270406055,1.4399114537239075,0.8123789583333334,47400
238,200,-322.382485,-1.6119124249999999,1.4083788537979125,0.8115872916666665,47600
239,200,-351.583059,-1.7579152949999999,1.3526464533805846,0.8107956249999999,47800
240,200,-279.739236,-1.39869618,1.3448743391036988,0.8100039583333334,48000
241,200,-172.995749,-0.8649787449999999,1.5264171767234802,0.8092122916666667,48200
242,200,-180.228127,-0.901140635,1.4695076584815978,0.8084206249999999,48400
243,200,-247.5934,-1.237967,1.3951914405822754,0.8076289583333333,48600
244,200,-271.621113,-1.3581055649999998,1.4235649752616881,0.8068372916666667,48800
245,200,-163.167253,-0.815836265,1.4024309015274048,0.8060456250000001,49000
246,200,-116.660702,-0.58330351,1.552647397518158,0.8052539583333331,49200
247,200,-340.039482,-1.7001974100000001,1.4594368195533753,0.8044622916666666,49400
248,200,-265.107849,-1.3255392449999999,1.4867940950393677,0.8036706250000001,49600
249,200,-121.795635,-0.6089781750000001,1.528331973552704,0.8028789583333334,49800
250,200,-122.182742,-0.61091371,1.4225736570358276,0.8020872916666666,50000
251,200,-215.731839,-1.078659195,1.6315761518478393,0.801295625,50200
252,200,-274.749946,-1.3737497300000001,1.6072087693214416,0.8005039583333333,50400
253,200,-231.717901,-1.1585895050000001,1.5320545172691344,0.7997122916666668,50600
254,200,-310.373566,-1.55186783,1.5538244867324829,0.7989206249999998,50800
255,200,-310.882813,-1.554414065,1.4815244889259338,0.7981289583333333,51000
256,200,-236.397546,-1.1819877300000001,1.623608682155609,0.7973372916666667,51200
257,200,-322.410797,-1.612053985,1.6122192811965943,0.796545625,51400
258,200,-296.779109,-1.483895545,1.4846889472007752,0.7957539583333332,51600
259,200,-326.710113,-1.633550565,1.5523679494857787,0.7949622916666665,51800
260,200,-95.551826,-0.47775913000000003,1.5199030029773712,0.794170625,52000
261,200,-250.111137,-1.2505556850000001,1.6637104511260987,0.7933789583333335,52200
262,200,-331.721442,-1.6586072100000002,1.555331175327301,0.7925872916666669,52400
263,200,-115.727988,-0.57863994,1.5573798298835755,0.7917956249999999,52600
264,200,-257.366254,-1.2868312700000002,1.5808155465126037,0.7910039583333334,52800
265,200,-185.316937,-0.926584685,1.5655511403083802,0.7902122916666667,53000
266,200,-75.839867,-0.37919933499999997,1.7474798989295959,0.7894206249999998,53200
267,200,-296.82649,-1.48413245,1.6090207648277284,0.7886289583333332,53400
268,200,-105.510869,-0.527554345,1.5768459808826447,0.7878372916666667,53600
269,200,-262.295317,-1.311476585,1.633543758392334,0.7870456250000001,53800
270,200,-136.852208,-0.68426104,1.6447714185714721,0.7862539583333334,54000
271,200,-250.925601,-1.254628005,1.7691986346244812,0.7854622916666666,54200
272,200,-252.297892,-1.26148946,1.7120203590393066,0.784670625,54400
273,200,-146.047722,-0.73023861,1.6307782077789306,0.7838789583333334,54600
274,200,-172.136776,-0.86068388,1.6491054964065552,0.7830872916666665,54800
275,200,-111.506459,-0.557532295,1.6876201796531678,0.7822956249999999,55000
276,200,-207.181405,-1.035907025,1.7372683572769165,0.7815039583333333,55200
277,200,-198.180306,-0.99090153,1.7485842084884644,0.7807122916666668,55400
278,200,-212.908549,-1.064542745,1.737029800415039,0.7799206250000001,55600
279,200,-129.651003,-0.648255015,1.7175514340400695,0.7791289583333333,55800
280,200,-209.287373,-1.046436865,1.712356469631195,0.7783372916666667,56000
281,200,-196.515555,-0.982577775,1.8587881755828857,0.7775456250000001,56200
282,200,-248.748321,-1.243741605,1.753324477672577,0.7767539583333332,56400
283,200,-157.439337,-0.787196685,1.719981939792633,0.7759622916666666,56600
284,200,-114.45296,-0.5722648,1.7523873805999757,0.775170625,56800
285,200,-44.897901,-0.22448950499999998,1.7249073123931884,0.7743789583333334,57000
286,200,-175.833622,-0.87916811,1.8905935287475586,0.7735872916666668,57200
287,200,-191.537203,-0.9576860150000001,1.8168776202201844,0.7727956249999999,57400
288,200,-208.810062,-1.04405031,1.8180173444747925,0.7720039583333334,57600
289,200,-210.369193,-1.051845965,1.7837706422805786,0.7712122916666667,57800
290,200,-245.994238,-1.2299711899999999,1.758082263469696,0.7704206249999999,58000
291,200,-204.199198,-1.02099599,1.923471164703369,0.7696289583333332,58200
292,200,-168.595595,-0.842977975,1.7874661803245544,0.7688372916666667,58400
293,200,-115.543958,-0.5777197900000001,1.8274627828598022,0.7680456250000001,58600
294,200,-207.082096,-1.0354104800000001,1.8025315189361573,0.7672539583333335,58800
295,200,-157.994432,-0.7899721599999999,1.8272584939002992,0.7664622916666666,59000
296,200,-196.566755,-0.982833775,1.86643141746521,0.765670625,59200
297,200,-177.781387,-0.888906935,1.832120690345764,0.7648789583333334,59400
298,200,-214.781908,-1.0739095399999998,1.8546089839935302,0.7640872916666666,59600
299,200,-76.103858,-0.38051929,1.8239963936805725,0.7632956249999999,59800
300,200,-110.982249,-0.554911245,1.8732977652549743,0.7625039583333333,60000
301,200,-179.294909,-0.8964745449999999,1.9951155257225037,0.7617122916666668,60200
302,200,-120.111294,-0.60055647,1.8979625272750855,0.7609206250000002,60400
303,200,-255.992605,-1.279963025,1.880531132221222,0.7601289583333333,60600
304,200,-156.334487,-0.7816724349999999,1.9140984153747558,0.7593372916666666,60800
305,200,-252.651269,-1.263256345,1.8659625673294067,0.7585456250000001,61000
306,200,-277.680651,-1.388403255,2.038879587650299,0.7577539583333331,61200
307,200,-300.536574,-1.50268287,1.9623297715187074,0.7569622916666665,61400
308,200,26.619922,0.13309961,1.9687522673606872,0.756170625,61600
309,200,-212.444386,-1.06222193,1.881080470085144,0.7553789583333334,61800
310,200,-239.234693,-1.196173465,1.8845504546165466,0.7545872916666668,62000
311,200,-131.13171,-0.65565855,2.026880095005035,0.753795625,62200
312,200,-77.52315,-0.38761575,1.9457483410835266,0.7530039583333333,62400
313,200,-164.245155,-0.821225775,1.965268723964691,0.7522122916666667,62600
314,200,-173.361898,-0.86680949,1.8797353291511536,0.7514206249999997,62800
315,200,-188.199295,-0.940996475,1.9436136388778686,0.7506289583333332,63000
316,200,-244.937568,-1.22468784,2.1120013070106505,0.7498372916666667,63200
317,200,-285.839748,-1.42919874,2.0780745697021485,0.749045625,63400
318,200,-258.384207,-1.291921035,2.012231025695801,0.7482539583333334,63600
319,200,-217.369094,-1.0868454699999999,1.9776649951934815,0.7474622916666666,63800
320,200,-178.545974,-0.89272987,1.9373600220680236,0.7466706249999999,64000
321,200,-110.120481,-0.550602405,2.1541722011566162,0.7458789583333334,64200
322,200,-185.27377,-0.92636885,2.0518300247192385,0.7450872916666669,64400
323,200,-197.236338,-0.98618169,2.064320216178894,0.7442956249999999,64600
324,200,-217.998307,-1.089991535,1.9656335759162902,0.7435039583333334,64800
325,200,-44.842392,-0.22421196,2.0214420700073243,0.7427122916666667,65000
326,200,-159.18341,-0.79591705,2.181563742160797,0.7419206250000001,65200
327,200,-217.960944,-1.08980472,2.1459318447113036,0.7411289583333331,65400
328,200,-221.848655,-1.109243275,2.0197046113014223,0.7403372916666666,65600
329,200,-64.96807,-0.32484035,2.0030487298965456,0.7395456250000001,65800
330,200,-307.804799,-1.539023995,1.9648353242874146,0.7387539583333335,66000
331,200,-167.247224,-0.8362361199999999,2.190933463573456,0.7379622916666666,66200
332,200,-278.612555,-1.393062775,2.116987442970276,0.737170625,66400
333,200,-173.286852,-0.86643426,2.1239624214172363,0.7363789583333333,66600
334,200,-256.976488,-1.28488244,2.0434778332710266,0.7355872916666668,66800
335,200,-74.897006,-0.37448503,2.062403404712677,0.7347956249999998,67000
336,200,-125.489059,-0.627445295,2.325719213485718,0.7340039583333333,67200
337,200,-95.173985,-0.475869925,2.1186343812942505,0.7332122916666667,67400
338,200,-96.653379,-0.48326689500000003,2.1957034420967103,0.732420625,67600
339,200,-58.050378,-0.29025189,2.0752615213394163,0.7316289583333333,67800
340,200,-78.305524,-0.39152762,2.0496231651306154,0.7308372916666667,68000
